"time","resistor2.LossPower","resistor2.v","resistor1.LossPower","resistor1.v","constantvoltage1.i","ground1.p.i","resistor2.R_actual","resistor1.R_actual","ground1.p.v","resistor2.p.v","constantvoltage1.n.v","resistor2.n.v","constantvoltage1.p.i","resistor1.p.i","resistor1.i","resistor1.n.i","resistor2.p.i","resistor2.i","resistor2.n.i","constantvoltage1.n.i","resistor1.n.v",
0.242,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.244,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.246,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.248,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.25,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.252,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.254,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.256,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.258,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.26,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.262,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.264,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.266,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.268,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
