"time", "stairBouncingBall.Root.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.x", "stairBouncingBall.Root.stairBouncingBallwin3264.der(x)", "stairBouncingBall.Root.stairBouncingBallwin3264.y", "stairBouncingBall.Root.stairBouncingBallwin3264.der(y)", "stairBouncingBall.Root.stairBouncingBallwin3264.xs", "stairBouncingBall.Root.stairBouncingBallwin3264.der(xs)", "stairBouncingBall.Root.stairBouncingBallwin3264.ys", "stairBouncingBall.Root.stairBouncingBallwin3264.der(ys)", "stairBouncingBall.Root.stairBouncingBallwin3264.rebound", "stairBouncingBall.Root.stairBouncingBallwin3264.stair"
0.64, 0.0019943, 0.0009971, 0.884970420325, 0.469002957967, 10.3484554331, -0.390445960259, 0.469002957967, -0.0469002957967, -0.390445960259, -9.76760540397, 0, 10
0.64, 0.0019943, 0.0009971, 0.884970420325, 0.469002957967, 10.3484554331, -0.390445960259, 0.469002957967, -0.0469002957967, -0.390445960259, -9.76760540397, 0, 10
0.65, 0.0019943, 0.0009971, 0.889658134052, 0.468534186595, 10.3440686665, -0.488073783594, 0.468534186595, -0.0468534186595, -0.488073783594, -9.75784262164, 0, 10
0.65, 0.0019943, 0.0009971, 0.889658134052, 0.468534186595, 10.3440686665, -0.488073783594, 0.468534186595, -0.0468534186595, -0.488073783594, -9.75784262164, 0, 10
0.66, 0.0019943, 0.0009971, 0.894341468816, 0.468065853118, 10.3387699233, -0.585610409275, 0.468065853118, -0.0468065853118, -0.585610409275, -9.74808895907, 0, 10
0.66, 0.0019943, 0.0009971, 0.894341468816, 0.468065853118, 10.3387699233, -0.585610409275, 0.468065853118, -0.0468065853118, -0.585610409275, -9.74808895907, 0, 10
0.67, 0.0019943, 0.0009971, 0.89902012408, 0.467597987592, 10.3324966123, -0.683049578173, 0.467597987592, -0.0467597987592, -0.683049578173, -9.73834504218, 0, 10
0.67, 0.0019943, 0.0009971, 0.89902012408, 0.467597987592, 10.3324966123, -0.683049578173, 0.467597987592, -0.0467597987592, -0.683049578173, -9.73834504218, 0, 10
0.68, 0.0019943, 0.0009971, 0.903694099842, 0.467130590016, 10.3252487334, -0.780391290288, 0.467130590016, -0.0467130590016, -0.780391290288, -9.72861087097, 0, 10
0.68, 0.0019943, 0.0009971, 0.903694099842, 0.467130590016, 10.3252487334, -0.780391290288, 0.467130590016, -0.0467130590016, -0.780391290288, -9.72861087097, 0, 10
0.69, 0.0019943, 0.0009971, 0.908363396104, 0.46666366039, 10.3170262867, -0.877635545622, 0.46666366039, -0.046666366039, -0.877635545622, -9.71888644544, 0, 10
0.69, 0.0019943, 0.0009971, 0.908363396104, 0.46666366039, 10.3170262867, -0.877635545622, 0.46666366039, -0.046666366039, -0.877635545622, -9.71888644544, 0, 10
0.7, 0.0019943, 0.0009971, 0.913028012864, 0.466197198714, 10.3078292723, -0.974782344173, 0.466197198714, -0.0466197198714, -0.974782344173, -9.70917176558, 0, 10
0.7, 0.0029917, 0.0009971, 0.913028012864, 0.466197198714, 10.3078292723, -0.974782344173, 0.466197198714, -0.0466197198714, -0.974782344173, -9.70917176558, 0, 10
0.71, 0.0029917, 0.0009971, 0.917687950124, 0.465731204988, 10.2976576899, -1.07183168594, 0.465731204988, -0.0465731204988, -1.07183168594, -9.69946683141, 0, 10
0.71, 0.0029917, 0.0009971, 0.917687950124, 0.465731204988, 10.2976576899, -1.07183168594, 0.465731204988, -0.0465731204988, -1.07183168594, -9.69946683141, 0, 10
